rm;sprint;data_sprint
18368;201802-01;2018-01-26 17:07:44
18368;201802-02;2018-02-19 16:29:59
18368;201803-01;2018-03-07 16:58:11
18368;201803-02;2018-03-20 16:48:19
18368;201804-01;2018-04-03 13:38:26
18368;201804-02;2018-04-16 16:17:53
18368;201805-01;2018-05-02 09:52:13
18369;201802-02;2018-02-19 13:49:42
18370;201802-02;2018-02-19 13:49:43
18370;201803-01;2018-03-07 16:58:13
18370;201803-02;2018-03-20 16:45:19
18370;201804-01;2018-04-03 13:38:27
18370;201804-02;2018-04-16 16:17:54
18370;201805-01;2018-05-02 09:52:15
18371;201802-02;2018-02-19 13:49:45
18371;201803-01;2018-03-07 16:58:14
18371;201803-02;2018-03-20 16:45:20
18371;201804-01;2018-04-03 13:38:29
18371;201804-02;2018-04-16 16:17:55
18371;201805-01;2018-05-02 09:52:17
18372;201802-02;2018-02-19 13:49:46
18372;201803-01;2018-03-07 16:58:16
18372;201803-02;2018-03-20 16:45:22
18372;201804-01;2018-04-03 13:38:31
18372;201804-02;2018-04-16 16:17:57
18372;201805-01;2018-05-02 09:52:18
18388;201712-02;2018-01-02 00:00:00
18388;201801-01;2018-01-02 16:12:45
18388;201802-01;2018-01-15 13:33:14
18388;201802-02;2018-02-19 16:36:25
18409;201712-02;2018-01-02 00:00:00
18409;201801-01;2018-01-02 10:08:05
18410;201712-02;2018-01-02 00:00:00
18410;201801-01;2018-01-02 10:08:06
18411;201712-02;2018-01-02 00:00:00
18411;201801-01;2018-01-02 10:08:08
18422;201803-01;2018-03-07 15:18:42
18422;201803-02;2018-03-20 16:45:25
18427;201712-02;2018-01-02 00:00:00
18427;201801-01;2018-01-02 11:38:44
18427;201801-02;2018-01-16 08:19:58
18427;201802-01;2018-01-30 09:47:40
18432;201801-02;2018-01-22 10:55:58
18432;201802-01;2018-01-30 09:47:41
18432;201802-02;2018-02-16 09:42:34
18432;201803-01;2018-03-07 16:58:43
18432;201803-02;2018-03-20 16:49:43
18432;201804-01;2018-04-03 13:38:54
18432;201804-02;2018-04-16 16:18:16
18432;201805-01;2018-04-30 16:20:11
18438;;2018-01-02 11:53:16
18465;201802-01;2018-01-29 11:09:26
18465;201802-02;2018-02-19 13:36:16
18465;201803-03;2018-03-07 10:54:30
18465;201803-01;2018-03-07 10:58:46
18465;201803-02;2018-04-02 09:45:52
18465;201804-01;2018-04-02 10:09:10
18465;201804-02;2018-04-16 10:40:39
18465;201805-01;2018-05-02 09:37:05
